Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",88.392000,-148.045200,-90.000000,bottom
"C2","10uF","C_0805_2012Metric",86.106000,-148.045200,-90.000000,bottom
"R1","4K7","R_0805_2012Metric",90.119200,-100.445600,180.000000,bottom
"R2","4K7","R_0805_2012Metric",90.119200,-102.477600,180.000000,bottom
"R3","10K","R_0805_2012Metric",92.000700,-148.807200,0.000000,bottom
"R4","10K","R_0805_2012Metric",95.453200,-148.807200,0.000000,bottom
"R5","10K","R_0805_2012Metric",66.522600,-148.705600,180.000000,bottom
"R6","4K7","R_0805_2012Metric",72.034400,-148.705600,0.000000,bottom
"U1","LIS3DHTR","LGA-16_3x3x1mm_STM",90.246200,-142.609600,-90.000000,bottom
"X2","OLED_128x128","OLED_1.50_128x128",80.848200,-122.035600,180.000000,bottom
